Product Name,Product Link,Image Link
,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj3700ws-thin-light-laptop/p/itmf31c79724a398?pid=COMHCQ5ECZZV6THK&lid=LSTCOMHCQ5ECZZV6THKTW8YMF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sVM18j5DHdr3MJcHfNJkKqXeuMxS1v2t91_8XeijXjGFE4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/l/v/-original-imahgfdffszmurd7.jpeg?q=70
,https://www.flipkart.com/chuwi-intel-core-i3-10th-gen-10100y-8-gb-256-gb-ssd-windows-11-home-corebook-x-grey-laptop/p/itm60983f1093f2d?pid=COMGQHRQZSPVRDZE&lid=LSTCOMGQHRQZSPVRDZEQTPAAX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sWNTJKyXz2Ul_9UsQxI2V_t1jZGgCRq7qKz8NSg5gXWOw%3D%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/d/d/-original-imahgy5bywsf9aa8.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WVLNYRU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/b/u/-original-imahgfdfbprdg3mm.jpeg?q=70
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5300u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH28U4WDFBUKP3&lid=LSTCOMH28U4WDFBUKP3PFEZVB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMH28U4WDFBUKP3.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/d/-original-imahb2kbf2zdan3z.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a325-45-thin-light-laptop/p/itm9ca67a1a3ea22?pid=COMH59ENQYHDYJGX&lid=LSTCOMH59ENQYHDYJGXYVQ9ST&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMH59ENQYHDYJGX.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/x/1/a325-45-thin-and-light-laptop-acer-original-imah2tyffgnp8nmd.jpeg?q=70
,https://www.flipkart.com/infinix-gt-book-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-80-w-gl613-gaming-laptop/p/itmc9e44d5a9f6c4?pid=COMHYS44DKVFUFVS&lid=LSTCOMHYS44DKVFUFVS2KZG86&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sXChEVIVylmQwkR_zsMSCAlkZKqFv7vnycX-uD0SNQp7o06z3QAm4-AoFL_C4Jep-g%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/i/h/-original-imahcd9998zgefk5.jpeg?q=70
,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7w4hn-a/p/itm2ea42dec44bca?pid=COMH64PYZU4ZZR79&lid=LSTCOMH64PYZU4ZZR79AHLYXY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMH64PYZU4ZZR79.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/f/y/-original-imahgfdfjcy6aghz.jpeg?q=70
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,https://www.flipkart.com/acer-3-years-warranty-aspire-2025-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-a325-53-thin-light-laptop/p/itm07dcd421d9bcb?pid=COMHG4T4XWKNGBQH&lid=LSTCOMHG4T4XWKNGBQH3AUYMC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMHG4T4XWKNGBQH.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/6/aspire-3-a325-53-thin-and-light-laptop-acer-original-imahg4t48x6tbbsx.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZ8BARKXFF&lid=LSTCOMH7NCZ8BARKXFFIUHV7S&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMH7NCZ8BARKXFF.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/b/u/-original-imahgfdfbprdg3mm.jpeg?q=70
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm7dda0a4d1d62a?pid=COMHY24RJH2YXVPG&lid=LSTCOMHY24RJH2YXVPGTVAAXW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMHY24RJH2YXVPG.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/9/m/-original-imahgfdfgzfv9drf.jpeg?q=70
,https://www.flipkart.com/asus-expertbook-p1-high-performance-processor-intel-core-i5-13th-gen-13420h-32-gb-512-gb-ssd-windows-11-home-p1403cva-s60939ws-thin-light-laptop/p/itm50988c1fc56e6?pid=COMH8Z2QGRVBX4AF&lid=LSTCOMH8Z2QGRVBX4AF72IMNQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sUbeuCqwRukwUfgqwm68POuwVHwOYmXYK81cyWCN3b2_OvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/i/d/-original-imahgfdfzzvbk5ux.jpeg?q=70
,https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1403cva-s60938ws-thin-light-laptop/p/itm0af4b81838b5b?pid=COMH8Z2QAWCCUCSP&lid=LSTCOMH8Z2QAWCCUCSPPZPFKG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sX7UziJbnJTJT2V9ivn3HKDyWzzGxdl-XlhO0NhAEdqYGaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/q/7/-original-imahb8x6w484vcry.jpeg?q=70
,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4OZ8PFJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/n/h/-original-imahgfdy4bszcfd4.jpeg?q=70
HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq3149TU / 14s-dq3141TU Thin ...,https://www.flipkart.com/hp-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-14s-dq3149tu-14s-dq3141tu-thin-light-laptop/p/itmc22c90e8c0882?pid=COMHDNV8HQQJSHFH&lid=LSTCOMHDNV8HQQJSHFH6PJ234&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMHDNV8HQQJSHFH.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/l/z/-original-imahgfdygxgqfwym.jpeg?q=70
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMH4Y6KKRC9YSWE.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/3/u/-original-imahgfdfhfyjchah.jpeg?q=70
DELL Inspiron 5440 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5...,https://www.flipkart.com/dell-inspiron-5440-2025-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itmedd3b1335552d?pid=COMHERGNK3PCMMSU&lid=LSTCOMHERGNK3PCMMSU9HBVBH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMHERGNK3PCMMSU.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/m/l/inspiron-5440-thin-and-light-laptop-dell-original-imahergnzncxkcfq.jpeg?q=70
,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj131ws-e1504fa-bq2321ws-thin-light-laptop/p/itm459fb45576278?pid=COMH94998FGG8FHG&lid=LSTCOMH94998FGG8FHGURVZSF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sVG-LTJGxpsKJRejXnNNI3gq2BsZQDtEbOGS0NaOMVdza8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/k/f/-original-imahgfdfp6a6ubma.jpeg?q=70
,https://www.flipkart.com/asus-vivobook-14-2025-office-2024-m365-basic-backlit-keyboard-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1404va-eb321ws-thin-light-laptop/p/itm86b2575a66c73?pid=COMHEZZTACFZCGWF&lid=LSTCOMHEZZTACFZCGWFJLHWXA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sUeT1vsVDb6fbr2RtmcZUHSr-vjdKwDGLeegdUtRW51B_KSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/d/-original-imahfcztzmftpy9u.jpeg?q=70
HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 255 G10 Thin and Light Lapto...,https://www.flipkart.com/hp-255-g10-amd-athlon-dual-core-7120u-8-gb-256-gb-ssd-windows-11-home-thin-light-laptop/p/itm0994d96e22416?pid=COMHBCNY8DX2T7HY&lid=LSTCOMHBCNY8DX2T7HYWUKEYT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMHBCNY8DX2T7HY.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/j/x/255-g10-thin-and-light-laptop-hp-original-imahbcnytdxhgmgu.jpeg?q=70
HP Professional Intel Core i5 13th Gen -1334U Turbo Boost with Finger Print - (16 GB/1 TB SSD/Windows ...,https://www.flipkart.com/hp-professional-intel-core-i5-13th-gen-1334u-turbo-boost-finger-print-16-gb-1-tb-ssd-windows-11-pro-240-g10-notebook/p/itmf5438070b97db?pid=COMHBYHE6H3ZZXPR&lid=LSTCOMHBYHE6H3ZZXPRDWGKMD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMHBYHE6H3ZZXPR.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/b/c/240-g10-notebook-hp-original-imahbyhdhzxynsnj.jpeg?q=70
,https://www.flipkart.com/asus-vivobook-16x-2025-creator-office-2024-m365-basic-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-k3605vc-rp413ws-gaming-laptop/p/itmec40249e8fe47?pid=COMH9499MNGSKSBV&lid=LSTCOMH9499MNGSKSBVOF6KTA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sW3gmgr2PXEn2RZ0lur1FlG-YXLGNFk2SNH9T1N4JboYssrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/8/6/-original-imahgfdfs7spfjwe.jpeg?q=70
,https://www.flipkart.com/asus-vivobook-15-2025-i5-14th-gen-mso-2024-m365-basic-backlit-keyboard-intel-core-5-120u-16-gb-512-gb-ssd-windows-11-home-x1504vap-nj2862ws-thin-light-laptop/p/itm509f174cc1a04?pid=COMHDG7CFDWVKYMZ&lid=LSTCOMHDG7CFDWVKYMZSDYMWT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_s6gMJJsNnqGFu_Zs_oMvqFWK-NvGbr1X6Ng9fUJi4sUUBrSTiXVyJd0ptghdMt3u5tyA1zNSKXKWHBYPnvvhNsDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/u/e/-original-imahcd8gzqjnp2vv.jpeg?q=70
HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,https://www.flipkart.com/hp-15-2025-amd-ryzen-3-quad-core-7320u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itmb73d8938f21b4?pid=COMHFAGTXRQNHEAG&lid=LSTCOMHFAGTXRQNHEAG7EOVVY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMHFAGTXRQNHEAG.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/a/f/15-thin-and-light-laptop-hp-original-imahdpzkrhem7h7g.jpeg?q=70
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96MYGWSGTF&lid=LSTCOMH3G96MYGWSGTFGZ7TLO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=0f69f64d-b18a-4ce9-9130-ea6f8bc13619.COMH3G96MYGWSGTF.SEARCH&ppt=None&ppn=None&ssid=t6x3xcnkuo0000001761579814083&qH=312f91285e048e09,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/y/3/-original-imahgfdyaaghwzef.jpeg?q=70
